suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,2,13,federation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,432.3315609999999,561.059589,15,1
cumulative,rdfs,2,14,audit_temporal,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,516.1780759999997,484.556471,50,1
cumulative,rdfs,2,14,audit_temporal,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,512.4358689999999,528.518056,13,1
cumulative,rdfs,2,14,audit_temporal,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,513.938429,502.412445,15,1
cumulative,rdfs,2,14,audit_temporal,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,507.29596599999996,384.743554,13,1
cumulative,rdfs,2,14,audit_temporal,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,516.565258,466.488469,16,1
cumulative,rdfs,2,15,validation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,554.3616089999998,441.610364,53,1
cumulative,rdfs,2,15,validation,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,547.2867579999998,707.432221,13,1
cumulative,rdfs,2,15,validation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,553.7807439999999,591.23585,17,1
cumulative,rdfs,2,15,validation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,548.9022430000001,557.078187,14,1
cumulative,rdfs,2,15,validation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,544.9236089999999,551.3243180000001,14,1
cumulative,rdfs,2,16,wellbeing,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,562.1175509999998,458.49684,55,1
cumulative,rdfs,2,16,wellbeing,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,550.9494249999999,701.016537,13,1
cumulative,rdfs,2,16,wellbeing,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,553.7807439999999,653.22198,17,1
cumulative,rdfs,2,16,wellbeing,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,563.405651,630.8022559999999,15,1
cumulative,rdfs,2,16,wellbeing,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,563.1616869999999,608.365871,15,1
cumulative,rdfs,3,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,338.329039,0.036715,1,283.90765,1,20.114588,72.206225,4,1
