layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
sharded,14060.900889,total_wall_ms,3,14315.323964399999,rdfs_owlrl,2,cumulative,,42418.410564
sharded,14183.964382,total_wall_ms,3,14434.138719399998,rdfs_owlrl,3,cumulative,,42770.197476999994
sharded,14738.567952,total_wall_ms,3,15161.003238,rdfs_owlrl,4,cumulative,,44607.178292
sharded,14947.018026,total_wall_ms,3,15127.260734399999,rdfs_owlrl,5,cumulative,,44962.98149
sharded,15804.197130999999,total_wall_ms,3,15827.7103645,rdfs_owlrl,6,cumulative,,47428.939524999994
sharded,15679.730844,total_wall_ms,3,15915.5628408,rdfs_owlrl,7,cumulative,,47298.058974
sharded,15801.268199,total_wall_ms,3,16104.5688425,rdfs_owlrl,8,cumulative,,47732.452015999996
sharded,17051.431782,total_wall_ms,3,17056.596416700002,rdfs_owlrl,9,cumulative,,50415.821586
sharded,16444.218195,total_wall_ms,3,16639.9645167,rdfs_owlrl,10,cumulative,,49488.57177
sharded,16698.818928,total_wall_ms,3,16961.323871999997,rdfs_owlrl,11,cumulative,,50293.864306
sharded,17245.520194,total_wall_ms,3,19226.1535825,rdfs_owlrl,12,cumulative,,53634.395304
sharded,17439.395105,total_wall_ms,3,18008.3725112,rdfs_owlrl,13,cumulative,,52718.229507
sharded,17704.498174,total_wall_ms,3,17921.7461158,rdfs_owlrl,14,cumulative,,53213.508487
sharded,17651.079011,total_wall_ms,3,17669.132298200002,rdfs_owlrl,15,cumulative,,52731.490712
sharded,18151.887953,total_wall_ms,3,18395.7640724,rdfs_owlrl,16,cumulative,,54587.964529000004
replicated,14577.788770000001,total_wall_ms,3,14583.1513642,rdfs_owlrl,1,cumulative,,43681.355346000004
replicated,14616.623581,total_wall_ms,3,14697.8663326,rdfs_owlrl,2,cumulative,,43858.130203
replicated,14705.135004,total_wall_ms,3,14762.4275406,rdfs_owlrl,3,cumulative,,44129.444896
replicated,14762.540551,total_wall_ms,3,14786.3349148,rdfs_owlrl,4,cumulative,,44295.541618
replicated,14929.318173000001,total_wall_ms,3,14981.3654556,rdfs_owlrl,5,cumulative,,44819.04874300001
replicated,14881.315057,total_wall_ms,3,14892.731025100002,rdfs_owlrl,6,cumulative,,44567.679147
replicated,14939.957159000001,total_wall_ms,3,14985.6322814,rdfs_owlrl,7,cumulative,,44800.912403
replicated,14970.089506,total_wall_ms,3,15178.5453469,rdfs_owlrl,8,cumulative,,45088.468979
replicated,15139.276767000001,total_wall_ms,3,15649.899445800002,rdfs_owlrl,9,cumulative,,45907.037451000004
replicated,15837.960331,total_wall_ms,3,16388.285916700002,rdfs_owlrl,10,cumulative,,47839.121821
replicated,15655.657001000001,total_wall_ms,3,16463.494450399998,rdfs_owlrl,11,cumulative,,47773.283359
replicated,15626.679171,total_wall_ms,3,15646.4653191,rdfs_owlrl,12,cumulative,,46881.068369
